id;street_address;postal_code;city;state_province
1;greedy during scale;grok atop yum;Fort Kurt;metallic wealthy jubilantly
2;excitedly;likely zowie that;South Floriancester;after whoever
3;inexperienced;moor selfish dwell;New Wilmaside;farmer gadzooks deeply
4;whoever;whoa indeed;Port Kimberly;sniveling
5;excitable remark;meaningfully huzzah pointed;Joliet;turret
6;boohoo left;what since shyly;Weissnathaven;mummify apud father
7;celsius easily;once powerless secularize;Youngstown;cafe
8;hutch;angelic amnesty commonly;Lake Barbara;jaggedly absentmindedly pish
9;custom freckle;gullible roughly now;Port Kelly;conceal determined
10;provided whereas nimble;surprisingly since;Clearwater;who yahoo
